PING 192.168.2.101 (192.168.2.101) 56(84) bytes of data.
64 bytes from 192.168.2.101: icmp_seq=347 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=348 ttl=128 time=2.13 ms
64 bytes from 192.168.2.101: icmp_seq=349 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=350 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=351 ttl=128 time=1.68 ms
64 bytes from 192.168.2.101: icmp_seq=352 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=353 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=354 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=355 ttl=128 time=2.07 ms
64 bytes from 192.168.2.101: icmp_seq=356 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=357 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=358 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=359 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=360 ttl=128 time=3.23 ms
64 bytes from 192.168.2.101: icmp_seq=361 ttl=128 time=3.85 ms
64 bytes from 192.168.2.101: icmp_seq=362 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=363 ttl=128 time=3.41 ms
64 bytes from 192.168.2.101: icmp_seq=364 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=365 ttl=128 time=1.61 ms
64 bytes from 192.168.2.101: icmp_seq=366 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=367 ttl=128 time=1.90 ms
64 bytes from 192.168.2.101: icmp_seq=368 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=369 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=370 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=371 ttl=128 time=2.36 ms
64 bytes from 192.168.2.101: icmp_seq=372 ttl=128 time=2.09 ms
64 bytes from 192.168.2.101: icmp_seq=373 ttl=128 time=2.04 ms
64 bytes from 192.168.2.101: icmp_seq=374 ttl=128 time=1.60 ms
64 bytes from 192.168.2.101: icmp_seq=375 ttl=128 time=1.68 ms
64 bytes from 192.168.2.101: icmp_seq=376 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=377 ttl=128 time=6.00 ms
64 bytes from 192.168.2.101: icmp_seq=378 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=379 ttl=128 time=1.99 ms
64 bytes from 192.168.2.101: icmp_seq=380 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=381 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=382 ttl=128 time=1.67 ms
64 bytes from 192.168.2.101: icmp_seq=383 ttl=128 time=1.62 ms

--- 192.168.2.101 ping statistics ---
384 packets transmitted, 383 received, 0% packet loss, time 383667ms
rtt min/avg/max/mdev = 1.463/2.560/136.911/7.074 ms
