PING 192.168.2.101 (192.168.2.101) 56(84) bytes of data.
64 bytes from 192.168.2.101: icmp_seq=26 ttl=128 time=2.68 ms
64 bytes from 192.168.2.101: icmp_seq=27 ttl=128 time=2.45 ms
64 bytes from 192.168.2.101: icmp_seq=28 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=29 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=30 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=31 ttl=128 time=1.67 ms
64 bytes from 192.168.2.101: icmp_seq=32 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=33 ttl=128 time=1.87 ms
64 bytes from 192.168.2.101: icmp_seq=34 ttl=128 time=1.65 ms
64 bytes from 192.168.2.101: icmp_seq=35 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=36 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=37 ttl=128 time=1.66 ms
64 bytes from 192.168.2.101: icmp_seq=38 ttl=128 time=1.69 ms
64 bytes from 192.168.2.101: icmp_seq=39 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=40 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=41 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=42 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=43 ttl=128 time=1.69 ms
64 bytes from 192.168.2.101: icmp_seq=44 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=45 ttl=128 time=1.81 ms
64 bytes from 192.168.2.101: icmp_seq=46 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=47 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=48 ttl=128 time=1.90 ms
64 bytes from 192.168.2.101: icmp_seq=49 ttl=128 time=2.09 ms
64 bytes from 192.168.2.101: icmp_seq=50 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=51 ttl=128 time=1.75 ms
64 bytes from 192.168.2.101: icmp_seq=52 ttl=128 time=1.82 ms
64 bytes from 192.168.2.101: icmp_seq=53 ttl=128 time=1.89 ms
64 bytes from 192.168.2.101: icmp_seq=54 ttl=128 time=1.79 ms
64 bytes from 192.168.2.101: icmp_seq=55 ttl=128 time=5.92 ms
64 bytes from 192.168.2.101: icmp_seq=56 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=57 ttl=128 time=3.62 ms
64 bytes from 192.168.2.101: icmp_seq=58 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=59 ttl=128 time=3.28 ms
64 bytes from 192.168.2.101: icmp_seq=60 ttl=128 time=1.63 ms
64 bytes from 192.168.2.101: icmp_seq=61 ttl=128 time=2.07 ms
64 bytes from 192.168.2.101: icmp_seq=62 ttl=128 time=2.80 ms
64 bytes from 192.168.2.101: icmp_seq=63 ttl=128 time=1.74 ms
64 bytes from 192.168.2.101: icmp_seq=64 ttl=128 time=5.87 ms
64 bytes from 192.168.2.101: icmp_seq=65 ttl=128 time=2.19 ms
64 bytes from 192.168.2.101: icmp_seq=66 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=67 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=68 ttl=128 time=1.57 ms
64 bytes from 192.168.2.101: icmp_seq=69 ttl=128 time=1.55 ms
64 bytes from 192.168.2.101: icmp_seq=70 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=71 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=72 ttl=128 time=3.71 ms
64 bytes from 192.168.2.101: icmp_seq=73 ttl=128 time=1.70 ms
64 bytes from 192.168.2.101: icmp_seq=74 ttl=128 time=1.46 ms
64 bytes from 192.168.2.101: icmp_seq=75 ttl=128 time=1.61 ms
64 bytes from 192.168.2.101: icmp_seq=76 ttl=128 time=1.66 ms
64 bytes from 192.168.2.101: icmp_seq=77 ttl=128 time=1.64 ms
64 bytes from 192.168.2.101: icmp_seq=78 ttl=128 time=1.86 ms
64 bytes from 192.168.2.101: icmp_seq=79 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=80 ttl=128 time=1.77 ms
64 bytes from 192.168.2.101: icmp_seq=81 ttl=128 time=1.84 ms
64 bytes from 192.168.2.101: icmp_seq=82 ttl=128 time=1.72 ms
64 bytes from 192.168.2.101: icmp_seq=83 ttl=128 time=1.83 ms
64 bytes from 192.168.2.101: icmp_seq=84 ttl=128 time=1.80 ms
64 bytes from 192.168.2.101: icmp_seq=85 ttl=128 time=1.73 ms
64 bytes from 192.168.2.101: icmp_seq=86 ttl=128 time=1.82 ms
64 bytes from 192.168.2.101: icmp_seq=87 ttl=128 time=3.23 ms
64 bytes from 192.168.2.101: icmp_seq=88 ttl=128 time=2.30 ms
64 bytes from 192.168.2.101: icmp_seq=89 ttl=128 time=1.97 ms
64 bytes from 192.168.2.101: icmp_seq=90 ttl=128 time=1.71 ms
64 bytes from 192.168.2.101: icmp_seq=91 ttl=128 time=1.85 ms
64 bytes from 192.168.2.101: icmp_seq=92 ttl=128 time=2.25 ms
64 bytes from 192.168.2.101: icmp_seq=93 ttl=128 time=1.78 ms
64 bytes from 192.168.2.101: icmp_seq=94 ttl=128 time=1.76 ms
64 bytes from 192.168.2.101: icmp_seq=95 ttl=128 time=3.27 ms
64 bytes from 192.168.2.101: icmp_seq=96 ttl=128 time=3.13 ms
64 bytes from 192.168.2.101: icmp_seq=97 ttl=128 time=1.74 ms
